SKU,Item_ID,Name,Description,Price,Stock Available,URL,Last Updated
172406,MLM2407061243,REFRIGERADOR LG 29 FT FRENCH DOOR SILVER - GM29BIP,Not found,20499.0,158,https://www.homedepot.com.mx/s/172406,2025-08-11 23:36:56
154900,MLM2407022367,REFRIGERADOR FAMILY HUB DUPLEX 22 PIES NEGRO,Not found,33899.0,199,https://www.homedepot.com.mx/s/154900,2025-08-12 20:38:09
